address,biz_id,category,image_shown,name,num_reviews,price_range,star_rating,url
281 New Scotland Ave,the-albany-ale-and-oyster-albany,"['American (Traditional)', 'Beer Bar']",https://s3-media3.fl.yelpcdn.com/bphoto/H-GObCpPpwr3XcCfOaBX8A/ls.jpg,The Albany Ale & Oyster,240.0,$$,4.5,https://www.yelp.com/biz/the-albany-ale-and-oyster-albany?osq=beer
42 Howard St,the-city-beer-hall-albany,"['Bars', 'American (Traditional)', 'Gastropubs']",https://s3-media2.fl.yelpcdn.com/bphoto/rBAD9u1_2xl7RjKLcPwRJQ/ls.jpg,The City Beer Hall,489.0,$$,4.0,https://www.yelp.com/biz/the-city-beer-hall-albany?osq=beer
292 Delaware Ave,delaware-supply-albany,['Beer Bar'],https://s3-media1.fl.yelpcdn.com/bphoto/vNnnpzA4DXqo_NOWK2g3iw/ls.jpg,Delaware Supply,24.0,$$,5.0,https://www.yelp.com/biz/delaware-supply-albany?osq=beer
1053 Broadway,druthers-brewing-company-albany,"['Burgers', 'Brewpubs']",https://s3-media4.fl.yelpcdn.com/bphoto/wTLrpTljejQxsjfrZ3A9LQ/ls.jpg,Druthers Brewing Company,374.0,$$,4.0,https://www.yelp.com/biz/druthers-brewing-company-albany?osq=beer
1100 Madison Ave,madison-pour-house-albany,"['American (New)', 'Pubs']",https://s3-media3.fl.yelpcdn.com/bphoto/_q42sc4Zl8TCjfb0jkeCnQ/ls.jpg,Madison Pour House,125.0,$$,4.5,https://www.yelp.com/biz/madison-pour-house-albany?osq=beer
594 New Loudon Rd,beer-bones-taproom-latham,['Beer Bar'],https://s3-media4.fl.yelpcdn.com/bphoto/EEUpi6dzFZLhDoN9S_APdw/ls.jpg,Beer Bones Taproom,14.0,,5.0,https://www.yelp.com/biz/beer-bones-taproom-latham?osq=beer
942 Broadway,lost-and-found-albany,"['American (New)', 'Pubs', 'Beer Gardens']",https://s3-media1.fl.yelpcdn.com/bphoto/6sjQSqI-cgZfy72MjfMiCA/ls.jpg,Lost & Found,55.0,$$,4.5,https://www.yelp.com/biz/lost-and-found-albany?osq=beer
450 N Pearl St,fort-orange-brewing-albany,['Breweries'],https://s3-media3.fl.yelpcdn.com/bphoto/H5A867rFYUsUEEmtKRpO0g/ls.jpg,Fort Orange Brewing,23.0,$,4.0,https://www.yelp.com/biz/fort-orange-brewing-albany?osq=beer
895 Broadway,wolffs-biergarten-albany,"['German', 'Pubs', 'Sandwiches']",https://s3-media2.fl.yelpcdn.com/bphoto/W_5HjVw_EeIiB1K3ULOxqg/ls.jpg,Wolff’s Biergarten,214.0,$$,4.0,https://www.yelp.com/biz/wolffs-biergarten-albany?osq=beer
90 Congress St,rare-form-brewing-company-troy-2,"['Breweries', 'Beer Bar']",https://s3-media4.fl.yelpcdn.com/bphoto/3WZ3OmWu-O4nTMzHw5dEtw/ls.jpg,Rare Form Brewing Company,40.0,$$,4.5,https://www.yelp.com/biz/rare-form-brewing-company-troy-2?osq=beer
