address,biz_id,category,image_shown,name,num_reviews,price_range,star_rating,url
234 Western Ave,the-cuckoos-nest-albany,"['Southern', 'American New']",https://s3-media1.fl.yelpcdn.com/bphoto/6ZAVl7L2_hhjw0vN4fFu5g/ls.jpg,The Cuckooâs Nest,235.0,$$,4.5,https://www.yelp.com/biz/the-cuckoos-nest-albany?osq=restaurants
79 N Pearl St,the-hollow-bar-and-kitchen-albany,"['American New', 'Music Venues', 'Venues & Event Spaces']",https://s3-media4.fl.yelpcdn.com/bphoto/XjDwO1v9-s3_snmE7tHmdw/ls.jpg,The Hollow Bar & Kitchen,304.0,$$,4.0,https://www.yelp.com/biz/the-hollow-bar-and-kitchen-albany?osq=restaurants
182A Washington Ave,iron-gate-cafe-albany,['Cafes'],https://s3-media3.fl.yelpcdn.com/bphoto/A01kLnmtUVC4l03WpZ8b6A/ls.jpg,Iron Gate Cafe,474.0,$$,4.5,https://www.yelp.com/biz/iron-gate-cafe-albany?osq=restaurants
281 New Scotland Ave,the-albany-ale-and-oyster-albany,"['American Traditional', 'Beer Bar']",https://s3-media3.fl.yelpcdn.com/bphoto/H-GObCpPpwr3XcCfOaBX8A/ls.jpg,The Albany Ale & Oyster,240.0,$$,4.5,https://www.yelp.com/biz/the-albany-ale-and-oyster-albany?osq=restaurants
109 Wolf Rd,kuma-ani-albany-4,['Ramen'],https://s3-media2.fl.yelpcdn.com/bphoto/ZX6doy-Or_C6Hl5Sm3SFZQ/ls.jpg,Kuma Ani,22.0,,4.5,https://www.yelp.com/biz/kuma-ani-albany-4?osq=restaurants
42 Howard St,the-city-beer-hall-albany,"['Bars', 'American Traditional', 'Gastropubs']",https://s3-media2.fl.yelpcdn.com/bphoto/rBAD9u1_2xl7RjKLcPwRJQ/ls.jpg,The City Beer Hall,489.0,$$,4.0,https://www.yelp.com/biz/the-city-beer-hall-albany?osq=restaurants
300 Delaware Ave,new-world-bistro-bar-albany-3,"['American New', 'Bars', 'Seafood']",https://s3-media1.fl.yelpcdn.com/bphoto/VJUHgkhiZfjU5RoVORDcsw/ls.jpg,New World Bistro Bar,536.0,$$,4.0,https://www.yelp.com/biz/new-world-bistro-bar-albany-3?osq=restaurants
1192 Western Ave,barcelona-albany,"['Spanish', 'Mediterranean', 'Tapas Bars']",https://s3-media2.fl.yelpcdn.com/bphoto/3zCyz5kOwQOFKJo0Pdmd1A/ls.jpg,Barcelona,136.0,$$,4.0,https://www.yelp.com/biz/barcelona-albany?osq=restaurants
1053 Broadway,druthers-brewing-company-albany,"['Burgers', 'Brewpubs']",https://s3-media4.fl.yelpcdn.com/bphoto/wTLrpTljejQxsjfrZ3A9LQ/ls.jpg,Druthers Brewing Company,374.0,$$,4.0,https://www.yelp.com/biz/druthers-brewing-company-albany?osq=restaurants
90 N Pearl St,the-bishop-albany,"['Cocktail Bars', 'American New', 'Burgers']",https://s3-media3.fl.yelpcdn.com/bphoto/EQwYTQNvr36NUXmkRcRQGw/ls.jpg,The Bishop,10.0,,5.0,https://www.yelp.com/biz/the-bishop-albany?osq=restaurants
